name,pdf_url
Mandarine Active,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-active/AR
Mandarine Entrepreneurs,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-entrepreneurs/AR
Mandarine Equity Income,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-equity-income/AR
Mandarine Europe Microcap,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-europe-microcap/AR
Mandarine Global Microcap,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-microcap/AR
Mandarine Global Sport,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-sport/AR
Mandarine Global Transition,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-transition/AR
Mandarine Multi-Assets,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-multi-assets/AR
Mandarine Opportunités,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-opportunites/AR
Mandarine Optimal Value,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-optimal-value/AR
Mandarine Unique,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-unique/AR
Mandarine Valeur,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-valeur/AR
