name,pdf_url,files
Mandarine Active,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-active/AR,mandarin5.pdf
Mandarine Entrepreneurs,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-entrepreneurs/AR,mandarin2.pdf
Mandarine Equity Income,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-equity-income/AR,mandarin9.pdf
Mandarine Europe Microcap,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-europe-microcap/AR,mandarin6.pdf
Mandarine Global Microcap,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-microcap/AR,mandarin8.pdf
Mandarine Global Sport,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-sport/AR,mandarin12.pdf
Mandarine Global Transition,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-global-transition/AR,mandarin7.pdf
Mandarine Multi-Assets,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-multi-assets/AR,mandarin3.pdf
Mandarine Opportunités,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-opportunites/AR,mandarin10.pdf
Mandarine Optimal Value,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-optimal-value/AR,mandarin1.pdf
Mandarine Unique,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-unique/AR,mandarin4.pdf
Mandarine Valeur,https://www.mandarine-gestion.com/FR/fr/docs/funds/mandarine-valeur/AR,mandarin11.pdf
